region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa,1799.00,1799.00,1787.00,1776.00,1767.00,1756.00,1737.80,1719.60,1701.40,1683.20,1665.00,1649.00,1633.00,1617.00,1601.00,1585.00,1575.00,1565.00,1556.00,1546.00,1536.00,1530.00,1523.00,1517.00,1511.00,1505.00,1500.00,1496.00,1491.00,1487.00,1483.00
Australia,1448.00,1448.00,1430.00,1412.00,1402.00,1391.00,1375.60,1360.20,1344.80,1329.40,1314.00,1301.00,1288.00,1276.00,1263.00,1250.00,1243.00,1235.00,1227.00,1219.00,1212.00,1207.00,1202.00,1197.00,1192.00,1187.00,1183.00,1180.00,1177.00,1173.00,1170.00
Brazil,693.00,693.00,693.00,692.00,690.00,687.00,680.80,674.60,668.40,662.20,656.00,650.00,644.00,638.00,632.00,626.00,622.00,618.00,614.00,611.00,607.00,604.00,602.00,599.00,597.00,594.00,593.00,591.00,589.00,587.00,586.00
China,926.00,926.00,926.00,926.00,927.00,927.00,919.20,911.40,903.60,895.80,888.00,880.00,872.00,864.00,857.00,849.00,844.00,840.00,835.00,831.00,826.00,823.00,820.00,816.00,813.00,809.00,807.00,805.00,802.00,800.00,798.00
Europe,1719.00,1719.00,1708.00,1697.00,1688.00,1679.00,1661.60,1644.20,1626.80,1609.40,1592.00,1576.00,1561.00,1546.00,1530.00,1515.00,1506.00,1496.00,1487.00,1478.00,1468.00,1462.00,1456.00,1450.00,1444.00,1438.00,1434.00,1430.00,1426.00,1421.00,1417.00
India,852.00,852.00,857.00,862.00,860.00,859.00,853.20,847.40,841.60,835.80,830.00,824.00,817.00,811.00,805.00,798.00,794.00,790.00,786.00,781.00,777.00,775.00,772.00,770.00,767.00,765.00,762.00,760.00,758.00,756.00,753.00
Latin America,693.00,693.00,693.00,692.00,690.00,687.00,680.80,674.60,668.40,662.20,656.00,650.00,644.00,638.00,632.00,626.00,622.00,618.00,614.00,611.00,607.00,604.00,602.00,599.00,597.00,594.00,593.00,591.00,589.00,587.00,586.00
Middle East,1401.00,1401.00,1392.00,1384.00,1376.00,1368.00,1353.80,1339.60,1325.40,1311.20,1297.00,1285.00,1272.00,1260.00,1247.00,1235.00,1227.00,1220.00,1212.00,1204.00,1197.00,1192.00,1187.00,1182.00,1177.00,1172.00,1169.00,1165.00,1162.00,1158.00,1155.00
Namibia,1799.00,1799.00,1787.00,1776.00,1767.00,1756.00,1737.80,1719.60,1701.40,1683.20,1665.00,1649.00,1633.00,1617.00,1601.00,1585.00,1575.00,1565.00,1556.00,1546.00,1536.00,1530.00,1523.00,1517.00,1511.00,1505.00,1500.00,1496.00,1491.00,1487.00,1483.00
North America,1451.00,1444.00,1438.00,1431.00,1424.00,1417.00,1402.40,1387.80,1373.20,1358.60,1344.00,1331.00,1318.00,1305.00,1292.00,1279.00,1271.00,1263.00,1255.00,1247.00,1239.00,1234.00,1229.00,1224.00,1219.00,1214.00,1210.00,1207.00,1203.00,1200.00,1196.00
Oceania,1448.00,1448.00,1430.00,1412.00,1402.00,1391.00,1375.60,1360.20,1344.80,1329.40,1314.00,1301.00,1288.00,1276.00,1263.00,1250.00,1243.00,1235.00,1227.00,1219.00,1212.00,1207.00,1202.00,1197.00,1192.00,1187.00,1183.00,1180.00,1177.00,1173.00,1170.00
Rest of Asia,926.00,926.00,926.00,926.00,927.00,927.00,919.20,911.40,903.60,895.80,888.00,880.00,872.00,864.00,857.00,849.00,844.00,840.00,835.00,831.00,826.00,823.00,820.00,816.00,813.00,809.00,807.00,805.00,802.00,800.00,798.00
Russia,1719.00,1719.00,1708.00,1697.00,1688.00,1679.00,1661.60,1644.20,1626.80,1609.40,1592.00,1576.00,1561.00,1546.00,1530.00,1515.00,1506.00,1496.00,1487.00,1478.00,1468.00,1462.00,1456.00,1450.00,1444.00,1438.00,1434.00,1430.00,1426.00,1421.00,1417.00
Saudi Arabia,1401.00,1401.00,1392.00,1384.00,1376.00,1368.00,1353.80,1339.60,1325.40,1311.20,1297.00,1285.00,1272.00,1260.00,1247.00,1235.00,1227.00,1220.00,1212.00,1204.00,1197.00,1192.00,1187.00,1182.00,1177.00,1172.00,1169.00,1165.00,1162.00,1158.00,1155.00
